data,num_offerta,val_offerta,stato_offerta,n_pacchi_rimasti,valore_atteso,mediana_rimasti,max_rimasto,min_rimasto,std_rimasti,n_valori_alti,ratio_offerta_va
13/03/2024,2,18000,Rifiutata,9,19009.0,1000.0,100000,1,32487.47,2,0.9469
13/03/2024,3,18000,Rifiutata,7,17295.86,1000.0,100000,1,34136.23,1,1.0407
13/03/2024,4,18000,Rifiutata,5,21210.2,1000.0,100000,1,39437.65,1,0.8486
13/03/2024,5,1500,Rifiutata,4,1512.75,525.0,5000,1,2052.37,0,0.9916
14/03/2024,1,20000,Rifiutata,15,18790.67,500.0,100000,0,30719.12,3,1.0644
14/03/2024,2,25000,Rifiutata,12,23480.42,3000.0,100000,5,32704.91,3,1.0647
14/03/2024,3,20000,Rifiutata,7,22322.86,1000.0,75000,10,28126.94,2,0.8959
14/03/2024,4,20000,Rifiutata,4,26550.0,15500.0,75000,200,30440.23,1,0.7533
14/03/2024,5,30000,Accettata,3,25400.0,1000.0,75000,200,35074.02,1,1.1811
15/03/2024,1,46000,Rifiutata,15,53120.0,15000.0,300000,5,84597.19,5,0.866
15/03/2024,2,31000,Rifiutata,9,43500.56,20000.0,200000,5,60203.88,3,0.7126
15/03/2024,3,31000,Rifiutata,8,48937.5,25000.0,200000,500,61737.57,3,0.6335
15/03/2024,4,15000,Rifiutata,5,19300.0,15000.0,50000,500,18781.91,1,0.7772
27/03/2024,1,21000,Rifiutata,12,38468.0,3000.0,300000,1,82104.51,3,0.5459
27/03/2024,2,34000,Rifiutata,9,51233.89,10000.0,300000,5,91303.41,3,0.6636
27/03/2024,3,31000,Rifiutata,6,54350.83,3000.0,300000,5,110077.19,1,0.5704
27/03/2024,4,41000,Accettata,5,65220.0,5000.0,300000,100,117607.63,1,0.6286
28/03/2024,1,2000,Rifiutata,13,4758.46,200.0,30000,0,8579.67,0,0.4203
30/03/2024,1,38000,Rifiutata,15,45453.4,1000.0,300000,0,84994.56,4,0.836
30/03/2024,2,38000,Rifiutata,9,69619.56,1000.0,300000,0,102471.85,4,0.5458
30/03/2024,3,45000,Rifiutata,7,82296.57,1000.0,300000,0,112260.49,3,0.5468
30/03/2024,4,38000,Rifiutata,6,62679.33,537.5,300000,0,109585.44,2,0.6063
30/03/2024,5,60000,Rifiutata,4,94000.25,38000.0,300000,1,122761.77,2,0.6383
30/03/2024,6,30000,Accettata,3,25333.67,1000.0,75000,1,35121.77,1,1.1842
31/03/2024,1,44000,Rifiutata,15,51783.67,5000.0,300000,10,85265.49,5,0.8497
31/03/2024,2,35000,Rifiutata,9,41241.11,5000.0,200000,20,64501.12,3,0.8487
31/03/2024,3,35000,Rifiutata,7,38735.71,5000.0,200000,50,67873.65,2,0.9036
31/03/2024,4,35000,Accettata,5,41230.0,1000.0,200000,50,79405.85,1,0.8489
16/04/2024,1,35000,Rifiutata,15,38450.73,5000.0,300000,0,76026.05,4,0.9103
16/04/2024,2,18000,Rifiutata,9,21306.67,500.0,100000,0,36156.34,2,0.8448
16/04/2024,3,10000,Rifiutata,5,15312.0,500.0,75000,10,29846.16,1,0.6531
16/04/2024,4,23000,Accettata,3,25500.0,1000.0,75000,500,35002.38,1,0.902
17/04/2024,1,47000,Rifiutata,15,51783.0,10000.0,300000,20,85109.37,5,0.9076
17/04/2024,2,10000,Rifiutata,9,17349.44,5000.0,75000,20,25313.54,2,0.5764
17/04/2024,3,5000,Rifiutata,4,6518.75,5500.0,15000,75,6245.58,0,0.767
19/04/2024,1,33000,Rifiutata,15,45126.0,1000.0,300000,0,85139.48,4,0.7313
19/04/2024,2,39000,Rifiutata,9,65142.78,5000.0,300000,10,102866.59,3,0.5987
19/04/2024,3,4000,Rifiutata,6,6047.5,600.0,30000,10,10852.13,0,0.6614
20/04/2024,1,41000,Rifiutata,15,51430.4,1000.0,300000,1,85469.2,5,0.7972
20/04/2024,2,38000,Rifiutata,9,54570.67,1000.0,300000,1,93719.08,3,0.6963
20/04/2024,3,38000,Rifiutata,7,57305.14,75.0,300000,1,104890.32,2,0.6631
20/04/2024,4,45000,Accettata,6,66855.83,537.5,300000,10,110440.63,2,0.6731
21/04/2024,1,22000,Rifiutata,12,29733.42,750.0,200000,1,58178.88,2,0.7399
21/04/2024,2,27000,Rifiutata,9,37920.11,1000.0,200000,1,65029.59,2,0.712
21/04/2024,3,32000,Rifiutata,7,48743.0,10000.0,200000,1,70071.27,2,0.6565
21/04/2024,4,32000,Accettata,3,33733.33,1000.0,100000,200,46858.75,1,0.9486
22/04/2024,1,35000,Rifiutata,15,33116.67,5000.0,200000,5,53681.51,4,1.0569
22/04/2024,2,35000,Rifiutata,9,42902.78,15000.0,200000,5,63735.72,3,0.8158
22/04/2024,3,35000,Rifiutata,6,39337.5,8000.0,200000,5,72274.21,1,0.8897
22/04/2024,4,35000,Rifiutata,5,44205.0,1000.0,200000,5,78269.52,1,0.7918
23/04/2024,1,30000,Rifiutata,15,29130.33,1000.0,200000,10,54251.06,3,1.0299
23/04/2024,2,30000,Rifiutata,9,32377.22,1000.0,200000,20,63522.96,2,0.9266
23/04/2024,3,36000,Rifiutata,7,41585.0,5000.0,200000,20,69329.26,2,0.8657
24/04/2024,1,37000,Rifiutata,15,39758.67,5000.0,300000,0,75703.27,4,0.9306
24/04/2024,2,48000,Rifiutata,12,49693.33,17500.0,300000,20,81671.56,4,0.9659
24/04/2024,3,19000,Rifiutata,7,25871.43,20000.0,75000,100,26092.4,2,0.7344
24/04/2024,4,17000,Rifiutata,3,17033.33,1000.0,50000,100,23313.85,1,0.998
25/04/2024,1,30000,Rifiutata,15,27089.07,5000.0,200000,1,50838.82,3,1.1075
25/04/2024,2,33000,Rifiutata,12,32192.92,7500.0,200000,5,55482.31,3,1.0251
25/04/2024,3,25000,Rifiutata,9,32368.33,1000.0,200000,5,63527.48,2,0.7724
25/04/2024,4,25000,Rifiutata,8,35164.38,600.0,200000,5,66856.92,2,0.7109
25/04/2024,5,25000,Rifiutata,6,34352.5,550.0,200000,5,74100.66,1,0.7277
25/04/2024,6,38000,Rifiutata,4,51502.5,3000.0,200000,10,85755.42,1,0.7378
25/04/2024,7,65000,Rifiutata,3,68666.67,5000.0,200000,1000,92881.05,1,0.9466
26/04/2024,1,4300,Rifiutata,9,4017.78,50.0,30000,0,9313.82,0,1.0702
27/04/2024,1,39000,Rifiutata,15,47421.07,5000.0,300000,0,85642.55,4,0.8224
27/04/2024,2,50000,Rifiutata,9,74578.33,15000.0,300000,5,101485.46,4,0.6704
27/04/2024,3,65000,Rifiutata,6,92700.0,27500.0,300000,200,116165.33,3,0.7012
27/04/2024,4,115000,Rifiutata,4,126500.0,102500.0,300000,1000,128468.87,2,0.9091
27/04/2024,5,115000,Accettata,3,102000.0,5000.0,300000,1000,140016.67,1,1.1275
19/05/2024,1,44000,Rifiutata,15,52452.4,10000.0,300000,0,84953.9,5,0.8389
19/05/2024,2,44000,Rifiutata,12,58898.83,5500.0,300000,1,93317.3,4,0.747
19/05/2024,3,44000,Rifiutata,9,66254.0,1000.0,300000,1,103558.74,3,0.6641
19/05/2024,4,35000,Rifiutata,8,65160.75,600.0,300000,1,109791.65,2,0.5371
19/05/2024,5,19000,Accettata,7,31612.29,200.0,200000,1,69081.41,1,0.601
01/04/2024,1,36000,Rifiutata,15,39455.0,5000.0,300000,0,75807.14,4,0.9124
01/04/2024,2,29000,Rifiutata,9,43533.89,1000.0,300000,5,93508.47,2,0.6661
01/04/2024,3,8000,Rifiutata,8,11475.62,750.0,75000,5,24232.67,1,0.6971
01/04/2024,4,25000,Accettata,3,25400.0,1000.0,75000,200,35074.02,1,0.9843
02/04/2024,1,25000,Rifiutata,15,31750.73,100.0,300000,0,75940.5,2,0.7874
02/04/2024,2,17000,Rifiutata,9,17345.67,1000.0,100000,0,30764.63,1,0.9801
02/04/2024,3,25000,Rifiutata,7,22287.14,10000.0,100000,0,33271.57,1,1.1217
02/04/2024,4,25000,Accettata,4,27752.5,5500.0,100000,10,41893.3,1,0.9008
03/04/2024,1,46000,Rifiutata,15,52415.73,10000.0,300000,0,84976.43,5,0.8776
03/04/2024,2,46000,Rifiutata,9,63469.0,1000.0,300000,0,103626.58,3,0.7248
03/04/2024,3,46000,Rifiutata,8,65152.62,600.0,300000,0,109796.47,2,0.706
03/04/2024,4,30000,Rifiutata,7,31603.0,200.0,200000,0,69085.65,1,0.9493
03/04/2024,5,4000,Rifiutata,6,3536.83,110.0,20000,0,7370.95,0,1.131
04/04/2024,1,24000,Rifiutata,12,29735.5,3000.0,200000,1,56173.76,3,0.8071
04/04/2024,2,6000,Rifiutata,7,10975.14,200.0,75000,1,26140.07,1,0.5467
05/04/2024,1,4000,Rifiutata,12,11407.5,350.0,100000,0,27332.42,1,0.3506
06/04/2024,1,40000,Rifiutata,15,51413.73,5000.0,300000,0,85440.21,5,0.778
06/04/2024,2,32000,Rifiutata,9,54557.89,5000.0,300000,0,93667.22,3,0.5865
06/04/2024,3,35000,Rifiutata,7,58003.0,1000.0,300000,0,104523.11,2,0.6034
06/04/2024,4,40000,Rifiutata,6,67666.83,3000.0,300000,0,109964.54,2,0.5911
06/04/2024,5,18000,Rifiutata,5,21200.2,1000.0,100000,0,39443.02,1,0.849
06/04/2024,6,25000,Rifiutata,4,26500.25,3000.0,100000,1,42476.31,1,0.9434
06/04/2024,7,40000,Accettata,3,35333.33,5000.0,100000,1000,45755.39,1,1.1321
07/04/2024,1,30000,Rifiutata,12,44722.08,750.0,300000,0,94218.49,2,0.6708
07/04/2024,2,39000,Rifiutata,9,57395.56,1000.0,300000,0,105660.89,2,0.6795
07/04/2024,3,30000,,7,45221.43,1000.0,300000,0,104068.25,1,0.6634
07/04/2024,4,35000,,6,52758.33,3000.0,300000,50,110623.69,1,0.6634
07/04/2024,5,40000,Rifiutata,5,63300.0,5000.0,300000,500,118399.16,1,0.6319
07/04/2024,6,3000,Rifiutata,4,4125.0,3000.0,10000,500,3814.04,0,0.7273
08/04/2024,1,10000,Rifiutata,9,12390.56,1000.0,50000,0,16731.6,1,0.8071
08/04/2024,2,15000,Rifiutata,7,15858.57,10000.0,50000,0,17486.89,1,0.9459
08/04/2024,3,3000,Rifiutata,4,2752.5,505.0,10000,0,4204.02,0,1.0899
09/04/2024,1,34000,Rifiutata,15,44455.73,1000.0,300000,1,86325.59,3,0.7648
09/04/2024,2,34000,Rifiutata,9,57422.33,1000.0,300000,1,105646.36,2,0.5921
09/04/2024,3,20000,Rifiutata,7,45228.71,1000.0,300000,1,104065.09,1,0.4422
09/04/2024,4,30000,Rifiutata,5,62320.0,1000.0,300000,100,118896.89,1,0.4814
