data,num_offerta,valore_atteso,val_offerta,ratio_offerta_va,ratio_predetto,offerta_stimata,errore_euro
18/05/2024,3,46234.44,35000,0.757,0.7294210000000004,33724.0,-1276.0
02/03/2024,1,30455.4,30000,0.985,0.9712669999999997,29580.0,-420.0
10/03/2024,1,15456.4,19000,1.2293,0.8948540000000006,13831.0,-5169.0
26/02/2024,2,39298.42,39000,0.9924,0.8782439999999994,34514.0,-4486.0
26/03/2024,2,47398.89,39000,0.8228,0.7751960000000004,36743.0,-2257.0
06/05/2024,3,55252.5,27000,0.4887,0.5040500000000003,27850.0,850.0
02/04/2024,4,27752.5,25000,0.9008,0.8869519999999994,24615.0,-385.0
21/02/2024,2,29633.33,23000,0.7762,0.9346030000000005,27695.0,4695.0
22/02/2024,4,53509.17,31000,0.5793,0.5707870000000005,30542.0,-458.0
12/05/2024,3,15823.12,9000,0.5688,0.9077329999999995,14363.0,5363.0
05/03/2024,5,105250.0,72000,0.6841,0.865482,91092.0,19092.0
25/03/2024,4,50250.25,30000,0.597,0.6387770000000002,32099.0,2099.0
25/03/2024,2,60691.22,30000,0.4943,0.6514410000000003,39537.0,9537.0
12/05/2024,5,6518.75,8000,1.2272,0.8663239999999996,5647.0,-2353.0
25/02/2024,5,67033.33,55000,0.8205,0.7806869999999998,52332.0,-2668.0
17/02/2024,4,26214.0,24000,0.9155,0.9085979999999991,23818.0,-182.0
19/02/2024,3,8241.0,5000,0.6067,0.8311759999999999,6850.0,1850.0
20/05/2024,2,24271.75,15000,0.618,0.7954259999999996,19306.0,4306.0
07/03/2024,2,26842.22,15000,0.5588,0.9021909999999993,24217.0,9217.0
19/03/2024,3,18024.43,15000,0.8322,0.8617279999999995,15532.0,532.0
27/04/2024,4,126500.0,115000,0.9091,0.91232,115408.0,408.0
19/02/2024,2,53467.22,43000,0.8042,0.7386620000000002,39494.0,-3506.0
12/03/2024,4,20211.0,13000,0.6432,0.787436,15915.0,2915.0
04/05/2024,6,62750.0,50000,0.7968,0.7353510000000004,46143.0,-3857.0
28/04/2024,5,82300.0,60000,0.729,0.6566839999999999,54045.0,-5955.0
14/05/2024,4,58595.83,35000,0.5973,0.7539659999999992,44179.0,9179.0
27/04/2024,2,74578.33,50000,0.6704,0.6538179999999998,48761.0,-1239.0
10/04/2024,3,7775.0,9000,1.1576,0.9568759999999998,7440.0,-1560.0
20/05/2024,4,35136.38,25000,0.7115,0.707226,24849.0,-151.0
04/03/2024,6,38666.67,50000,1.2931,1.3743069999999988,53140.0,3140.0
28/04/2024,4,73583.33,50000,0.6795,0.706693,52001.0,2001.0
13/02/2024,2,14606.11,10000,0.6846,0.7705739999999998,11255.0,1255.0
22/02/2024,3,45936.43,25000,0.5442,0.6236740000000005,28649.0,3649.0
23/03/2024,1,44129.73,37000,0.8384,0.763985,33714.0,-3286.0
24/04/2024,2,49693.33,48000,0.9659,0.7978780000000001,39649.0,-8351.0
19/03/2024,4,31500.25,31000,0.9841,0.8660069999999997,27279.0,-3721.0
14/05/2024,1,50782.4,47000,0.9255,0.8109390000000006,41181.0,-5819.0
29/02/2024,3,11685.71,9000,0.7702,0.8133880000000002,9505.0,505.0
25/03/2024,1,48419.07,39000,0.8055,0.8188650000000002,39649.0,649.0
12/02/2024,4,6211.2,5000,0.805,0.915031,5683.0,683.0
16/02/2024,3,10212.5,6000,0.5875,0.7188490000000002,7341.0,1341.0
04/03/2024,3,24333.5,20000,0.8219,0.9199389999999998,22385.0,2385.0
14/05/2024,3,51653.57,35000,0.6776,0.7927039999999992,40946.0,5946.0
10/03/2024,4,14012.5,15000,1.0705,0.9098479999999999,12749.0,-2251.0
27/02/2024,4,53551.67,40000,0.7469,0.5212630000000005,27915.0,-12085.0
01/04/2024,1,39455.0,36000,0.9124,0.9304729999999989,36712.0,712.0
04/05/2024,5,50200.2,40000,0.7968,0.7218240000000005,36236.0,-3764.0
16/05/2024,1,31790.33,30000,0.9437,0.9051889999999991,28776.0,-1224.0
16/03/2024,5,75375.0,42000,0.5572,0.5207550000000006,39252.0,-2748.0
21/04/2024,1,29733.42,22000,0.7399,0.8439219999999993,25093.0,3093.0
08/05/2024,6,75275.0,38000,0.5048,0.5563280000000003,41878.0,3878.0
23/03/2024,3,56020.0,32000,0.5712,0.562272,31498.0,-502.0
16/04/2024,2,21306.67,18000,0.8448,0.8789209999999993,18727.0,727.0
09/04/2024,4,62320.0,30000,0.4814,0.5183290000000005,32302.0,2302.0
23/04/2024,3,41585.0,36000,0.8657,0.8266509999999991,34376.0,-1624.0
04/05/2024,2,25135.92,22000,0.8752,0.8892849999999993,22353.0,353.0
27/04/2024,1,47421.07,39000,0.8224,0.8084989999999996,38340.0,-660.0
10/05/2024,1,50450.07,42000,0.8325,0.826239,41684.0,-316.0
29/02/2024,1,50795.33,43000,0.8465,0.8133610000000003,41315.0,-1685.0
30/04/2024,3,38600.0,30000,0.7772,0.8065699999999996,31134.0,1134.0
22/04/2024,2,42902.78,35000,0.8158,0.8000059999999999,34322.0,-678.0
16/02/2024,1,15953.33,17000,1.0656,0.8558219999999995,13653.0,-3347.0
28/02/2024,1,52445.33,42000,0.8008,0.8582940000000001,45014.0,3014.0
16/04/2024,3,15312.0,10000,0.6531,0.8760689999999994,13414.0,3414.0
